HORODATE;SOUS_PROFIL;CATEGORIE;COEFFICIENT_PREPARE;COEFFICIENT_AJUSTE;COEFFICIENT_DYNAMIQUE;INDIC_DISPERS_POIDS_DYN;INDIC_PRECISION_DYN
2024-07-01T00:30:00+02:00;RES1_BASE;Residentiel;0.6231;0.6231;0.596094583;100;100
2024-07-01T05:00:00+02:00;RES1_BASE;Residentiel;0.5222;0.5222;0.475146914;100;100
2024-07-01T06:30:00+02:00;RES1_BASE;Residentiel;0.6682;0.6682;0.589502759;100;100
2024-07-01T07:30:00+02:00;RES1_BASE;Residentiel;0.8975;0.8975;0.710855447;100;100
2024-07-01T13:30:00+02:00;RES1_BASE;Residentiel;1.0187;1.0187;0.841152895;100;100
2024-07-01T15:00:00+02:00;RES1_BASE;Residentiel;0.9116;0.9116;0.767406329;100;100
2024-07-01T16:30:00+02:00;RES1_BASE;Residentiel;0.8851;0.8851;0.756599746;100;100
2024-07-01T18:00:00+02:00;RES1_BASE;Residentiel;1.0302;1.0302;0.931973266;100;100
2024-07-01T23:00:00+02:00;RES1_BASE;Residentiel;0.8815;0.8815;0.773539606;100;100
2024-07-02T01:30:00+02:00;RES1_BASE;Residentiel;0.5455;0.5455;0.519076064;100;100
2024-07-02T02:30:00+02:00;RES1_BASE;Residentiel;0.5172;0.5172;0.483197378;100;100
2024-07-02T03:30:00+02:00;RES1_BASE;Residentiel;0.5112;0.5112;0.470960971;100;100
2024-07-02T11:30:00+02:00;RES1_BASE;Residentiel;1.0344;1.0344;0.872746627;100;100
2024-07-02T12:00:00+02:00;RES1_BASE;Residentiel;1.1046;1.1046;0.935693482;100;100
2024-07-02T15:00:00+02:00;RES1_BASE;Residentiel;0.8803;0.8803;0.755864405;100;100
2024-07-02T18:00:00+02:00;RES1_BASE;Residentiel;0.9933;0.9933;0.870469373;100;100
2024-07-02T22:00:00+02:00;RES1_BASE;Residentiel;1.0866;1.0866;0.896805537;100;100
2024-07-02T23:30:00+02:00;RES1_BASE;Residentiel;0.7613;0.7613;0.682587434;100;100
2024-07-03T00:00:00+02:00;RES1_BASE;Residentiel;0.6678;0.6678;0.628303222;100;100
2024-07-03T10:00:00+02:00;RES1_BASE;Residentiel;0.9489;0.9489;0.783622518;100;100
2024-07-03T12:00:00+02:00;RES1_BASE;Residentiel;1.1332;1.1332;0.970128085;100;100
2024-07-03T12:30:00+02:00;RES1_BASE;Residentiel;1.0986;1.0986;0.941935866;100;100
2024-07-04T00:30:00+02:00;RES1_BASE;Residentiel;0.6293;0.6293;0.572085484;100;100
2024-07-04T06:00:00+02:00;RES1_BASE;Residentiel;0.6095;0.6095;0.529618176;100;100
2024-07-04T08:30:00+02:00;RES1_BASE;Residentiel;0.9056;0.9056;0.760400394;100;100
2024-07-04T13:30:00+02:00;RES1_BASE;Residentiel;1.0023;1.0023;0.821701682;100;100
2024-07-04T20:00:00+02:00;RES1_BASE;Residentiel;1.2103;1.2103;1.07051114;100;100
2024-07-04T21:30:00+02:00;RES1_BASE;Residentiel;1.1689;1.1689;0.947864991;100;100
2024-07-05T00:30:00+02:00;RES1_BASE;Residentiel;0.6276;0.6276;0.584470666;100;100
2024-07-05T02:30:00+02:00;RES1_BASE;Residentiel;0.5318;0.5318;0.488010611;100;100
2024-07-05T11:30:00+02:00;RES1_BASE;Residentiel;1.0299;1.0299;0.894564022;100;100
2024-07-05T15:30:00+02:00;RES1_BASE;Residentiel;0.8892;0.8892;0.767981756;100;100
2024-07-06T00:30:00+02:00;RES1_BASE;Residentiel;0.6527;0.6527;0.632590872;100;100
2024-07-06T01:00:00+02:00;RES1_BASE;Residentiel;0.6003;0.6003;0.585200564;100;100
2024-07-06T01:30:00+02:00;RES1_BASE;Residentiel;0.5784;0.5784;0.551979773;100;100
2024-07-06T08:00:00+02:00;RES1_BASE;Residentiel;0.837;0.837;0.706999271;100;100
2024-07-06T10:30:00+02:00;RES1_BASE;Residentiel;1.0529;1.0529;0.904504312;100;100
2024-07-06T13:30:00+02:00;RES1_BASE;Residentiel;1.1044;1.1044;0.970808233;100;100
2024-07-06T15:00:00+02:00;RES1_BASE;Residentiel;0.9803;0.9803;0.856006077;100;100
2024-07-06T16:30:00+02:00;RES1_BASE;Residentiel;0.9139;0.9139;0.834868534;100;100
2024-07-06T17:30:00+02:00;RES1_BASE;Residentiel;0.9262;0.9262;0.844610749;100;100
2024-07-07T00:00:00+02:00;RES1_BASE;Residentiel;0.7412;0.7412;0.649403562;100;100
2024-07-07T02:00:00+02:00;RES1_BASE;Residentiel;0.5725;0.5725;0.509120647;100;100
2024-07-07T03:00:00+02:00;RES1_BASE;Residentiel;0.5518;0.5518;0.477816224;100;100
2024-07-07T05:30:00+02:00;RES1_BASE;Residentiel;0.5204;0.5204;0.469320913;100;100
2024-07-07T10:00:00+02:00;RES1_BASE;Residentiel;1.1001;1.1001;0.909159928;100;100
2024-07-07T12:00:00+02:00;RES1_BASE;Residentiel;1.2697;1.2697;1.118716702;100;100
2024-07-07T13:00:00+02:00;RES1_BASE;Residentiel;1.1557;1.1557;1.05117676;100;100
2024-07-07T15:30:00+02:00;RES1_BASE;Residentiel;0.9529;0.9529;0.85833605;100;100
2024-07-07T16:00:00+02:00;RES1_BASE;Residentiel;0.9368;0.9368;0.842466302;100;100
2024-07-07T17:00:00+02:00;RES1_BASE;Residentiel;0.9368;0.9368;0.843561586;100;100
2024-07-07T22:00:00+02:00;RES1_BASE;Residentiel;1.1055;1.1055;0.918984786;100;100
2024-07-08T00:00:00+02:00;RES1_BASE;Residentiel;0.7029;0.7029;0.638732861;100;100
2024-07-08T02:00:00+02:00;RES1_BASE;Residentiel;0.5447;0.5447;0.498281514;100;100
2024-07-08T03:30:00+02:00;RES1_BASE;Residentiel;0.5189;0.5189;0.465665634;100;100
