time,consumption_W
2023-09-13 13:00:00,236
2023-09-13 14:00:00,236
2023-09-13 15:00:00,213
2023-09-13 16:00:00,210
2023-09-13 17:00:00,181
2023-09-13 18:00:00,121
2023-09-13 19:00:00,110
2023-09-13 20:00:00,113
2023-09-13 21:00:00,113
2023-09-13 22:00:00,105
2023-09-13 23:00:00,111
2023-09-14 00:00:00,115
2023-09-14 01:00:00,105
2023-09-14 02:00:00,111
2023-09-14 03:00:00,131
2023-09-14 04:00:00,139
2023-09-14 05:00:00,226
2023-09-14 06:00:00,261
2023-09-14 07:00:00,277
2023-09-14 08:00:00,281
2023-09-14 09:00:00,284
2023-09-14 10:00:00,217
2023-09-14 11:00:00,226
2023-09-14 12:00:00,189
2023-09-14 13:00:00,192
2023-09-14 14:00:00,221
2023-09-14 15:00:00,270
2023-09-14 16:00:00,239
2023-09-14 17:00:00,217
2023-09-14 18:00:00,135
2023-09-14 19:00:00,
2023-09-14 20:00:00,125
2023-09-14 21:00:00,116
2023-09-14 22:00:00,107
2023-09-14 23:00:00,115
2023-09-15 00:00:00,114
2023-09-15 01:00:00,111
2023-09-15 02:00:00,121
2023-09-15 03:00:00,130
2023-09-15 04:00:00,153
2023-09-15 05:00:00,259
2023-09-15 06:00:00,287
2023-09-15 07:00:00,276
2023-09-15 08:00:00,209
2023-09-15 09:00:00,239
2023-09-15 10:00:00,248
2023-09-15 11:00:00,255
2023-09-15 12:00:00,218
2023-09-15 13:00:00,
2023-09-15 14:00:00,246
2023-09-15 15:00:00,266
2023-09-15 16:00:00,267
2023-09-15 17:00:00,233
2023-09-15 18:00:00,138
2023-09-15 19:00:00,142
2023-09-15 20:00:00,111
2023-09-15 21:00:00,121
2023-09-15 22:00:00,110
2023-09-15 23:00:00,117
2023-09-16 00:00:00,112
2023-09-16 01:00:00,103
2023-09-16 02:00:00,114
2023-09-16 03:00:00,112
2023-09-16 04:00:00,103
2023-09-16 05:00:00,106
2023-09-16 06:00:00,99.8
2023-09-16 07:00:00,114
2023-09-16 08:00:00,105
2023-09-16 09:00:00,86.8
2023-09-16 10:00:00,111
2023-09-16 11:00:00,72.9
2023-09-16 12:00:00,74.1
2023-09-16 13:00:00,80.0
2023-09-16 14:00:00,113
2023-09-16 15:00:00,127
2023-09-16 16:00:00,116
2023-09-16 17:00:00,131
2023-09-16 18:00:00,132
2023-09-16 19:00:00,120
2023-09-16 20:00:00,131
2023-09-16 21:00:00,117
2023-09-16 22:00:00,103
2023-09-16 23:00:00,111
2023-09-17 00:00:00,112
2023-09-17 01:00:00,101
2023-09-17 02:00:00,114
2023-09-17 03:00:00,110
2023-09-17 04:00:00,102
2023-09-17 05:00:00,107
2023-09-17 06:00:00,78.2
2023-09-17 07:00:00,75.1
2023-09-17 08:00:00,52.9
2023-09-17 09:00:00,49.9
2023-09-17 10:00:00,55.2
2023-09-17 11:00:00,45.9
2023-09-17 12:00:00,59.5
2023-09-17 13:00:00,70.9
2023-09-17 14:00:00,109
2023-09-17 15:00:00,121
2023-09-17 16:00:00,136
2023-09-17 17:00:00,141
2023-09-17 18:00:00,143
2023-09-17 19:00:00,136
2023-09-17 20:00:00,125
2023-09-17 21:00:00,116
2023-09-17 22:00:00,119
2023-09-17 23:00:00,110
2023-09-18 00:00:00,114
2023-09-18 01:00:00,120
2023-09-18 02:00:00,117
2023-09-18 03:00:00,130
2023-09-18 04:00:00,146
2023-09-18 05:00:00,286
2023-09-18 06:00:00,283
2023-09-18 07:00:00,309
2023-09-18 08:00:00,288
2023-09-18 09:00:00,303
2023-09-18 10:00:00,322
2023-09-18 11:00:00,319
2023-09-18 12:00:00,298
2023-09-18 13:00:00,266
2023-09-18 14:00:00,266
2023-09-18 15:00:00,219
2023-09-18 16:00:00,194
2023-09-18 17:00:00,182
2023-09-18 18:00:00,115
2023-09-18 19:00:00,117
2023-09-18 20:00:00,115
2023-09-18 21:00:00,103
2023-09-18 22:00:00,114
2023-09-18 23:00:00,112
2023-09-19 00:00:00,104
2023-09-19 01:00:00,114
2023-09-19 02:00:00,110
2023-09-19 03:00:00,127
2023-09-19 04:00:00,134
2023-09-19 05:00:00,219
2023-09-19 06:00:00,274
2023-09-19 07:00:00,295
2023-09-19 08:00:00,234
2023-09-19 09:00:00,178
2023-09-19 10:00:00,219
2023-09-19 11:00:00,195
2023-09-19 12:00:00,185
2023-09-19 13:00:00,145
2023-09-19 14:00:00,167
2023-09-19 15:00:00,191
2023-09-19 16:00:00,197
2023-09-19 17:00:00,191
2023-09-19 18:00:00,125
2023-09-19 19:00:00,109
2023-09-19 20:00:00,118
2023-09-19 21:00:00,104
2023-09-19 22:00:00,113
2023-09-19 23:00:00,104
2023-09-20 00:00:00,112
2023-09-20 01:00:00,110
2023-09-20 02:00:00,106
2023-09-20 03:00:00,128
2023-09-20 04:00:00,124
2023-09-20 05:00:00,222
2023-09-20 06:00:00,250
2023-09-20 07:00:00,262
2023-09-20 08:00:00,227
2023-09-20 09:00:00,209
2023-09-20 10:00:00,227
2023-09-20 11:00:00,179
2023-09-20 12:00:00,207
2023-09-20 13:00:00,230

